Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;;;;;;;;;;;;;;;
IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription;;;;;;;;;;;;;;;
Compute;Compute;Amazon Lightsail;Data Transfer;Data Transfer;AmazonLightsail;%DataXfer%;;;;;;;;;;;;;;;;;
Compute;Compute;Amazon Lightsail;Unused Static IP;Static IP Usage;AmazonLightsail;%UnusedStaticIP;;;;;;;;;;;;;;;;;
Compute;Compute;Amazon Lightsail;Bundle Usage;Bundle Usage;AmazonLightsail;%BundleUsage%;;;;;;;;;;;;;;;;;
Compute;Compute;Amazon Lightsail;Disk Usage;Disk Usage;AmazonLightsail;%DiskUsage;;;;;;;;;;;;;;;;;
Compute;Compute;Amazon Lightsail;Snapshot Usage;Snapshot Usage;AmazonLightsail;%SnapshotUsage;;;;;;;;;;;;;;;;;
Database;Database;Amazon Neptune;Additional Costs;Tax;AmazonNeptune;;;Tax%;;;;;;;;;;;;;;;
Database;Database;Amazon Neptune;Graph Database;Instance Usage;AmazonNeptune;%InstanceUsage%;;;;;;;;;;;;;;;;;
Database;Database;Amazon Neptune;Graph Database;Storage IO Usage;AmazonNeptune;%StorageIOUsage%;;;;;;;;;;;;;;;;;
Database;Database;Amazon Neptune;Graph Database;Storage Usage;AmazonNeptune;%StorageUsage%;;;;;;;;;;;;;;;;;
Database;Database;Amazon Neptune;Graph Database;Backup Usage;AmazonNeptune;%BackupUsage%;;;;;;;;;;;;;;;;;
Storage;Storage & Content Delivery;Amazon S3;Storage Analytics;Storage Usage;AmazonS3;%StorageAnalytics%;;;;;;;;;;;;;;;;;
Networking;Networking;AWS Global Accelerator;Fixed Fee;Fixed Fee;AWSGlobalAccelerator;Global-Accelerator-fixed-fee;;;;;;;;;;;;;;;;;
Networking;Networking;AWS Global Accelerator;Data Transfer;Data Transfer;AWSGlobalAccelerator;%Bytes%;;;;;;;;;;;;;;;;;
Networking;Networking;AWS Global Accelerator;Additional Costs;Tax;AWSGlobalAccelerator;;;Tax%;;;;;;;;;;;;;;;
Cloud Services;Application Services;Amazon AppStream;Additional Costs;Tax;AmazonAppStream;;;Tax%;;;;;;;;;;;;;;;
Cloud Services;Application Services;Amazon AppStream;Streaming;Stream Usage;AmazonAppStream;%stream%;;;;;;;;;;;;;;;;;
Cloud Services;Application Services;Amazon AppStream;Streaming;Stopped Instance Usage;AmazonAppStream;%StoppedInstance%;;;;;;;;;;;;;;;;;
Cloud Services;Application Services;Amazon AppStream;Streaming;Windows User Fee;AmazonAppStream;%Win-User;;;;;;;;;;;;;;;;;
Cloud Services;Artificial Intelligence;Amazon Lex;Additional Costs;Tax;AmazonLex;;;Tax%;;;;;;;;;;;;;;;
Cloud Services;Artificial Intelligence;Amazon Lex;Natural Language Processing;Request Usage;AmazonLex;%Req%;;;;;;;;;;;;;;;;;
Cloud Services;Analytics;Amazon Athena;Query Service;Data Processing;AmazonAthena;%DataScanned%;;;;;;;;;;;;;;;;;
Analytics;Analytics;AWS Glue;Development DPU Hour;Development DPU Hour;AWSGlue;%DEVED-DPU-Hour%;;;;;;;;;;;;;;;;;
Analytics;Analytics;AWS Glue;Catalog Request;Catalog Request;AWSGlue;%Catalog-Request;;;;;;;;;;;;;;;;;
Analytics;Analytics;AWS Glue;Catalog Storage;Catalog Storage;AWSGlue;%Catalog-Storage;;;;;;;;;;;;;;;;;
Analytics;Analytics;AWS Glue;Crawler DPU Hour;Crawler DPU Hour;AWSGlue;%Crawler-DPU-Hour%;;;;;;;;;;;;;;;;;
Analytics;Analytics;AWS Glue;ETL DPU Hour;ETL DPU Hour;AWSGlue;%ETL-DPU-Hour%;;;;;;;;;;;;;;;;;
Machine Learning;Machine Learning;Amazon ML;Data Statistics;Box Usage;AmazonML;%AMLBoxUsage;DataStats;;;;;;;;;;;;;;;;
Machine Learning;Machine Learning;Amazon ML;Batch Prediction;Batch Prediction;AmazonML;%BatchPredictionChunk;;;;;;;;;;;;;;;;;
Machine Learning;Machine Learning;Amazon ML;Training;Box Usage;AmazonML;%AMLBoxUsage;TrainModel;;;;;;;;;;;;;;;;
